pruning,pre_accuracy,post_accuracy,comp_time,model_size
0.0,58.19999999999998,51.79999999999998,0.12536243438720696,527.7921447753907
1.0,51.94999999999999,56.699999999999974,0.12692512989044197,518.6103782653809
2.0,45.69999999999999,61.59999999999997,0.12848782539367698,509.4286117553708
3.0,45.44999999999998,60.149999999999984,0.12457728385925297,500.6547374725338
4.0,45.19999999999998,58.69999999999998,0.12066674232482896,491.8808631896968
5.0,40.04999999999998,58.04999999999998,0.12373042106628396,483.5707206726073
6.0,34.899999999999984,57.39999999999998,0.12679409980773898,475.26057815551786
7.0,33.24999999999999,54.64999999999998,0.12269413471221896,456.59649276733387
8.0,31.59999999999999,51.89999999999998,0.11859416961669896,437.9324073791499
9.0,25.749999999999996,50.39999999999998,0.12522578239440896,442.0734767913814
10.0,19.899999999999995,48.89999999999998,0.13185739517211897,446.2145462036129
11.0,18.54999999999999,48.64999999999998,0.11358010768890374,442.4686470031734
12.0,17.199999999999996,48.39999999999998,0.09530282020568849,438.7227478027338
13.0,14.299999999999997,48.69999999999998,0.1084198951721192,426.7998809814448
14.0,11.4,48.99999999999998,0.12153697013854994,414.87701416015585
15.0,12.549999999999992,47.64999999999998,0.12433433532714845,407.97945404052683
16.0,13.699999999999992,46.29999999999998,0.12713170051574696,401.0818939208978
17.0,9.3,44.99999999999999,0.12251746654510495,387.9195060729978
18.0,4.900000000000002,43.699999999999996,0.11790323257446296,374.7571182250978
19.0,4.549999999999998,40.949999999999996,0.12306392192840594,378.9127044677733
20.0,4.199999999999998,38.199999999999996,0.12822461128234897,383.0682907104488
21.0,2.8500000000000005,38.79999999999998,0.12578964233398446,368.73255729675293
22.0,1.5000000000000007,39.399999999999984,0.12335467338561996,354.3968238830569
23.0,1.8999999999999986,39.04999999999998,0.12049591541290294,350.4740715026854
24.0,2.2999999999999985,38.69999999999999,0.11763715744018596,346.5513191223139
25.0,2.1999999999999993,37.249999999999986,0.09901022911071798,349.4381828308104
26.0,2.099999999999999,35.79999999999999,0.08038330078124999,352.32504653930687
27.0,1.7,30.699999999999996,0.08116793632507321,340.7753295898439
28.0,1.2999999999999998,25.599999999999998,0.08195257186889646,329.2256126403809
29.0,0.8000000000000004,27.349999999999987,0.0918596982955932,322.2453193664549
30.0,0.3000000000000003,29.09999999999999,0.10176682472228996,315.2650260925289
31.0,0.39999999999999963,26.64999999999999,0.11000907421112044,303.7548599243164
32.0,0.4999999999999998,24.199999999999992,0.11825132369995095,292.2446937561039
33.0,0.4,19.85,0.11774992942810045,292.8771095275879
34.0,0.3,15.5,0.11724853515624996,293.50952529907187
35.0,0.2999999999999998,14.499999999999995,0.09666740894317624,289.39197158813437
36.0,0.2999999999999999,13.499999999999996,0.0760862827301025,285.27441787719687
37.0,0.1500000000000001,11.899999999999999,0.09974300861358618,281.85668182373036
38.0,1.1626671596394093e-16,10.299999999999999,0.12339973449706992,278.4389457702639
39.0,1.1922977581890453e-17,10.549999999999995,0.12210798263549795,272.9021091461184
40.0,3.54002061434378e-17,10.799999999999995,0.12081623077392596,267.3652725219729
41.0,0.09999999999999984,7.3000000000000025,0.12260091304779046,268.6319580078124
42.0,0.19999999999999984,3.800000000000001,0.12438559532165495,269.89864349365195
43.0,0.15000000000000008,3.3999999999999986,0.12070178985595696,255.49460029602042
44.0,0.10000000000000003,2.999999999999999,0.11701798439025896,241.09055709838893
45.0,0.14999999999999988,2.5,0.12003183364868145,247.73627281188988
46.0,0.19999999999999987,1.9999999999999998,0.12304568290710395,254.38198852539088
47.0,0.10000000000000009,1.7999999999999994,0.12088656425476046,236.21273422241245
48.0,7.473608985939689e-17,1.5999999999999996,0.11872744560241696,218.04347991943393
49.0,2.0451772032789576e-17,1.0000000000000002,0.11660528182983397,221.20663261413594
50.0,3.421833309234209e-17,0.40000000000000047,0.11448311805725096,224.36978530883795
51.0,0.09999999999999984,0.5999999999999995,0.11834418773651095,218.35522460937491
52.0,0.19999999999999984,0.7999999999999996,0.12220525741577094,212.3406639099119
53.0,0.15000000000000008,0.7999999999999997,0.12018561363220197,206.3048954010009
54.0,0.10000000000000003,0.7999999999999997,0.11816596984863297,200.2691268920899
55.0,0.1499999999999999,0.5000000000000002,0.11904931068420396,204.9529724121094
56.0,0.1999999999999999,0.2000000000000002,0.11993265151977496,209.6368179321289
57.0,0.15000000000000005,0.2499999999999998,0.11467444896697998,201.27514648437491
58.0,0.1,0.2999999999999999,0.10941624641418497,192.91347503662092
