pruning_amount,pre_acc,comp_time,post_acc,model_size,Filler
0.0,58.20000000000000,0.1253624343872070,51.80000000000000,527.7921447753910,0
1.0,51.95000000000000,0.1269251298904420,56.700000000000000,518.6103782653810,0
2.0,45.70000000000000,0.1284878253936770,61.60000000000000,509.4286117553710,0
3.0,45.45000000000000,0.1245772838592530,60.150000000000000,500.6547374725340,0
4.0,45.20000000000000,0.1206667423248290,58.70000000000000,491.8808631896970,0
5.0,40.05000000000000,0.1237304210662840,58.05000000000000,483.5707206726070,0
6.0,34.900000000000000,0.1267940998077390,57.40000000000000,475.26057815551800,0
7.0,33.25000000000000,0.1226941347122190,54.65000000000000,456.5964927673340,0
8.0,31.60000000000000,0.1185941696166990,51.90000000000000,437.9324073791500,0
9.0,25.750000000000000,0.1252257823944090,50.40000000000000,442.0734767913810,0
10.0,19.900000000000000,0.1318573951721190,48.90000000000000,446.2145462036130,0
11.0,18.55000000000000,0.1135801076889040,48.65000000000000,442.4686470031730,0
12.0,17.200000000000000,0.0953028202056884,48.40000000000000,438.7227478027340,0
13.0,14.300000000000000,0.1084198951721190,48.70000000000000,426.7998809814450,0
14.0,11.4,0.1215369701385500,49.00000000000000,414.87701416015600,0
15.0,12.550000000000000,0.1243343353271480,47.65000000000000,407.9794540405270,0
16.0,13.700000000000000,0.1271317005157470,46.30000000000000,401.0818939208980,0
17.0,9.3,0.1225174665451050,45.00000000000000,387.9195060729980,0
18.0,4.900000000000000,0.1179032325744630,43.7,374.7571182250980,0
19.0,4.550000000000000,0.1230639219284060,40.95,378.9127044677730,0
20.0,4.200000000000000,0.1282246112823490,38.2,383.0682907104490,0
21.0,2.8500000000000000,0.1257896423339840,38.80000000000000,368.732557296753,0
22.0,1.5000000000000000,0.1233546733856200,39.400000000000000,354.3968238830570,0
23.0,1.9000000000000000,0.1204959154129030,39.05000000000000,350.4740715026850,0
24.0,2.3000000000000000,0.1176371574401860,38.70000000000000,346.5513191223140,0
25.0,2.2000000000000000,0.0990102291107179,37.250000000000000,349.4381828308100,0
26.0,2.100000000000000,0.0803833007812499,35.80000000000000,352.32504653930700,0
27.0,1.7,0.0811679363250732,30.700000000000000,340.7753295898440,0
28.0,1.3000000000000000,0.0819525718688964,25.6,329.2256126403810,0
29.0,0.8000000000000000,0.0918596982955932,27.350000000000000,322.2453193664550,0
30.0,0.3000000000000000,0.1017668247222900,29.10000000000000,315.2650260925290,0
31.0,0.4000000000000000,0.1100090742111200,26.65000000000000,303.7548599243160,0
32.0,0.5000000000000000,0.1182513236999510,24.200000000000000,292.2446937561040,0
33.0,0.4,0.1177499294281000,19.85,292.8771095275880,0
34.0,0.3,0.1172485351562500,15.5,293.50952529907200,0
35.0,0.3000000000000000,0.0966674089431762,14.500000000000000,289.39197158813400,0
36.0,0.3000000000000000,0.0760862827301025,13.500000000000000,285.27441787719700,0
37.0,0.1500000000000000,0.0997430086135861,11.9,281.85668182373000,0
38.0,1.16266715963941E-16,0.1233997344970700,10.3,278.4389457702640,0
39.0,1.19229775818905E-17,0.1221079826354980,10.550000000000000,272.9021091461180,0
40.0,3.54002061434378E-17,0.1208162307739260,10.800000000000000,267.3652725219730,0
41.0,0.0999999999999998,0.1226009130477900,7.300000000000000,268.6319580078120,0
42.0,0.2000000000000000,0.1243855953216550,3.800000000000000,269.89864349365200,0
43.0,0.15,0.1207017898559570,3.4000000000000000,255.4946002960200,0
44.0,0.1,0.1170179843902590,3.000000000000000,241.09055709838900,0
45.0,0.1500000000000000,0.1200318336486810,2.5,247.73627281189000,0
46.0,0.2000000000000000,0.1230456829071040,2.0,254.38198852539100,0
47.0,0.1,0.1208865642547600,1.8000000000000000,236.21273422241200,0
48.0,7.47360898593969E-17,0.1187274456024170,1.6000000000000000,218.0434799194340,0
49.0,2.04517720327896E-17,0.1166052818298340,1.0000000000000000,221.2066326141360,0
50.0,3.42183330923421E-17,0.1144831180572510,0.4000000000000000,224.36978530883800,0
51.0,0.0999999999999998,0.1183441877365110,0.6000000000000000,218.35522460937500,0
52.0,0.2000000000000000,0.1222052574157710,0.8000000000000000,212.3406639099120,0
53.0,0.15,0.1201856136322020,0.8000000000000000,206.3048954010010,0
54.0,0.1,0.1181659698486330,0.8000000000000000,200.2691268920900,0
55.0,0.1500000000000000,0.1190493106842040,0.5000000000000000,204.9529724121090,0
56.0,0.2000000000000000,0.1199326515197750,0.2000000000000000,209.6368179321290,0
57.0,0.15,0.1146744489669800,0.2500000000000000,201.27514648437500,0
58.0,0.1,0.1094162464141850,0.3000000000000000,192.91347503662100,0
