send_time          ,time_process         ,image_count ,time_received
1733409117.0088673 ,71.90024924278259    ,0.0         ,1733409117.650336
1733409122.177499  ,2.6899383068084717   ,1.0         ,1733409122.397502
1733409123.18247   ,0.10018539428710938  ,2.0         ,1733409123.1993861
1733409123.3982737 ,0.01456594467163086  ,3.0         ,1733409123.394827
1733409123.5869343 ,0.015653133392333984 ,4.0         ,1733409123.797278
1733409123.711313  ,0.016322851181030273 ,5.0         ,1733409124.0048
1733409124.0255268 ,0.020967483520507812 ,6.0         ,1733409124.086781
1733409124.4723504 ,0.021370410919189453 ,7.0         ,1733409124.476725
1733409125.2766519 ,0.014742851257324219 ,8.0         ,1733409125.2739
1733409126.222018  ,0.013569355010986328 ,9.0         ,1733409126.2197618
EXIT               ,EXIT                 ,EXIT        ,1733409126.2242482
