image,time
0,1.6096782684326172
1,1.4220373630523682
2,1.403911828994751
3,1.422884464263916
4,1.3766796588897705
5,1.418717384338379
6,1.4106175899505615
7,1.6830837726593018
8,1.3667645454406738
9,1.3589260578155518
10,1.3720848560333252
11,1.3819119930267334
12,1.4380264282226562
13,1.5059497356414795
14,1.463994026184082
15,1.3676426410675049
16,1.391988754272461
17,1.419450283050537
18,1.3837180137634277
19,1.415614128112793
20,1.3716630935668945
21,1.4084362983703613
22,1.383021593093872
23,1.3640179634094238
24,1.468205451965332
25,1.3337295055389404
26,1.4855003356933594
27,1.434499979019165
28,1.415926218032837
29,1.423645257949829
30,1.4339954853057861
31,1.4087560176849365
32,1.4273414611816406
33,1.3984389305114746
34,1.4905073642730713
35,1.4610271453857422
36,1.4381892681121826
37,1.3697421550750732
38,1.3719463348388672
39,1.4039456844329834
40,1.3639726638793945
41,1.350731372833252
42,1.3123846054077148
43,1.7489666938781738
44,1.4692697525024414
45,1.3513352870941162
46,1.3451533317565918
47,1.347801685333252
48,1.4580585956573486
49,1.3700199127197266
50,1.3459076881408691
51,1.439981460571289
52,1.4493131637573242
53,1.472531795501709
54,1.4140167236328125
55,1.377988576889038
56,1.3924195766448975
57,1.390120029449463
58,1.3612487316131592
59,1.4768507480621338
60,1.359222173690796
61,1.3757874965667725
62,1.3700594902038574
63,1.3755805492401123
64,1.3879239559173584
65,1.347980260848999
66,1.4764342308044434
67,1.4161438941955566
68,1.3964118957519531
69,1.4920611381530762
70,1.4730849266052246
71,1.3882973194122314
72,1.3728611469268799
73,1.3928086757659912
74,1.3759465217590332
75,1.4298913478851318
76,1.3677113056182861
77,1.3942780494689941
78,1.411874532699585
79,1.7139668464660645
80,1.4360952377319336
81,1.411829948425293
82,1.4127333164215088
83,1.4213249683380127
84,1.4092903137207031
85,1.3986093997955322
86,1.3962337970733643
87,1.4552807807922363
88,1.3862745761871338
89,1.3514349460601807
90,1.355377197265625
91,1.441009759902954
92,1.429081678390503
93,1.3418428897857666
94,1.344517469406128
95,1.4324486255645752
96,1.4794797897338867
97,1.4083991050720215
98,1.4780428409576416
99,1.3884005546569824
