image,time
0,50.80942749977112
1,0.6568052768707275
2,0.26471614837646484
3,0.13794946670532227
4,0.1411268711090088
5,0.15808367729187012
6,0.12497711181640625
7,0.14162015914916992
8,0.13742589950561523
9,0.14135503768920898
10,0.13829374313354492
11,0.14339709281921387
12,0.14153242111206055
13,0.14056897163391113
14,0.14176082611083984
15,0.1460726261138916
16,0.14084172248840332
17,0.14147019386291504
18,0.14258408546447754
19,0.1436460018157959
20,0.14267802238464355
21,0.13873028755187988
22,0.146026611328125
23,0.1439065933227539
24,0.1412031650543213
25,0.14364933967590332
26,0.14416241645812988
27,0.14442229270935059
28,0.13986992835998535
29,0.14294052124023438
30,0.14478325843811035
31,0.14316821098327637
32,0.14392542839050293
33,0.14403605461120605
34,0.1439225673675537
35,0.14125394821166992
36,0.1428382396697998
37,0.14373183250427246
38,0.14348840713500977
39,0.14496278762817383
40,0.14264369010925293
41,0.143324613571167
42,0.13999629020690918
43,0.14609670639038086
44,0.1431584358215332
45,0.14421844482421875
46,0.14421963691711426
47,0.14619016647338867
48,0.13476777076721191
49,0.14582443237304688
50,0.14349365234375
51,0.1441783905029297
52,0.14366817474365234
53,0.13414430618286133
54,0.14592194557189941
55,0.14122796058654785
56,0.14231133460998535
57,0.14446640014648438
58,0.14266300201416016
59,0.1378638744354248
60,0.1455678939819336
61,0.14368605613708496
62,0.1406862735748291
63,0.14322161674499512
64,0.14366602897644043
65,0.1433396339416504
66,0.14451193809509277
67,0.1438751220703125
68,0.14426231384277344
69,0.1390976905822754
70,0.14301443099975586
71,0.1448051929473877
72,0.14195561408996582
73,0.14533185958862305
74,0.14438295364379883
75,0.14483237266540527
76,0.13502979278564453
77,0.1423804759979248
78,0.1484065055847168
79,0.14298701286315918
80,0.14512014389038086
81,0.14550113677978516
82,0.14330434799194336
83,0.1328880786895752
84,0.15165305137634277
85,0.14049983024597168
86,0.14339685440063477
87,0.14389610290527344
88,0.14396142959594727
89,0.14071369171142578
90,0.13373398780822754
91,0.14911890029907227
92,0.14314842224121094
93,0.1448819637298584
94,0.1432487964630127
95,0.1437978744506836
96,0.1459977626800537
97,0.13281989097595215
98,0.14758586883544922
99,0.14671754837036133
