image,time
0,1.7267723083496094
1,1.4949729442596436
2,1.3974900245666504
3,1.2896223068237305
4,1.3404841423034668
5,1.3591797351837158
6,1.3484187126159668
7,1.2467045783996582
8,1.2414097785949707
9,1.290497064590454
10,1.288367748260498
11,1.3148515224456787
12,1.2907764911651611
13,1.2594575881958008
14,1.3019025325775146
15,1.305912971496582
16,1.2949767112731934
17,1.3637487888336182
18,1.3070826530456543
19,1.3060686588287354
20,1.2607316970825195
21,1.233290195465088
22,1.2454397678375244
23,1.2792322635650635
24,1.3191649913787842
25,1.2647106647491455
26,1.2120747566223145
27,1.31026291847229
28,1.6723003387451172
29,1.3483190536499023
30,1.2793910503387451
31,1.2894153594970703
32,1.2830617427825928
33,1.2612082958221436
34,1.2386360168457031
35,1.2777554988861084
36,1.286280870437622
37,1.345104694366455
38,1.3584063053131104
39,1.3763530254364014
40,1.3159892559051514
41,1.3482558727264404
42,1.330831527709961
43,1.2557604312896729
44,1.2098228931427002
45,1.2408452033996582
46,1.263913631439209
47,1.3471367359161377
48,1.2790396213531494
49,1.259368658065796
50,1.297929286956787
51,1.2704215049743652
52,1.284188985824585
53,1.313293695449829
54,1.2545089721679688
55,1.195432424545288
56,1.2591032981872559
57,1.2664051055908203
58,1.3151130676269531
59,1.289780616760254
60,1.3049347400665283
61,1.2612941265106201
62,1.2588613033294678
63,1.2716987133026123
64,1.3490347862243652
65,1.204456090927124
66,1.2217836380004883
67,1.6587717533111572
68,1.2989802360534668
69,1.311753511428833
70,1.2271292209625244
71,1.536405324935913
72,1.2567205429077148
73,1.239866018295288
74,1.2506067752838135
75,1.2912046909332275
76,1.2159435749053955
77,1.290050745010376
78,1.6512155532836914
79,1.786315679550171
80,1.9041802883148193
81,1.2518565654754639
82,1.908090353012085
83,2.080446243286133
84,1.5477440357208252
85,1.4614992141723633
86,1.461118459701538
87,1.4199986457824707
88,1.4239976406097412
89,1.4487957954406738
90,1.3624820709228516
91,1.40974760055542
92,1.336047649383545
93,1.2486913204193115
94,1.2794973850250244
95,1.2390758991241455
96,1.318272352218628
97,1.2922182083129883
98,1.259188175201416
99,1.2468531131744385
