Pruning_Amount,Accuracy,Model_Size_MB,Computation_Time, Number Of Filters
0.98,0.0000,69.463,1.4821, 55
0.96,58.5484,70.7097,1.8650, 110
0.94,67.0968,70.0008,2.1807, 165
0.92,71.0215,75.4355,2.5365, 220
0.90,75.2061,71.7050,3.6136, 275
