Rank,View,Importance Score
1,11,22.898601531982422
2,1,20.937719345092773
3,5,20.79239273071289
4,2,20.57525062561035
5,4,20.432973861694336
6,10,19.42491340637207
7,6,19.21009063720703
8,9,18.975271224975586
9,0,18.190454483032227
10,3,17.931407928466797
11,7,17.095561981201172
12,8,16.53537368774414
