send_time          ,time_process          ,image_count ,time_received
1733409579.300201  ,75.04206395149231     ,        0.0 ,1733409579.6983428
1733409583.3964307 , 1.3987538814544678   ,        1.0 ,1733409583.548702
1733409583.447957  , 0.01678323745727539  ,        2.0 ,1733409583.6234822
1733409583.5218875 , 0.017217636108398438 ,        3.0 ,1733409583.6234822
1733409583.5853248 , 0.018167734146118164 ,        4.0 ,1733409583.6234822
1733409583.6493254 , 0.020169496536254883 ,        5.0 ,1733409583.689455
1733409583.6852822 , 0.014864206314086914 ,        6.0 ,1733409583.689455
1733409583.7217982 , 0.015290498733520508 ,        7.0 ,1733409583.7588139
1733409583.754223  , 0.01521921157836914  ,        8.0 ,1733409583.7588139
1733409583.7851703 , 0.014741897583007812 ,        9.0 ,1733409583.823592
1733409583.8167937 , 0.01482248306274414  ,       10.0 ,1733409583.823592
1733409583.8479207 , 0.014555931091308594 ,       11.0 ,1733409583.895235
1733409583.8802161 , 0.015103816986083984 ,       12.0 ,1733409583.895235
1733409583.9132435 , 0.014951229095458984 ,       13.0 ,1733409583.9592
1733409583.948444  , 0.014117717742919922 ,       14.0 ,1733409583.9592
1733409583.9820054 , 0.014843463897705078 ,       15.0 ,1733409584.0470889
1733409584.0131607 , 0.014484882354736328 ,       16.0 ,1733409584.0470889
1733409584.0451765 , 0.014889955520629883 ,       17.0 ,1733409584.0470889
1733409584.0897863 , 0.015129804611206055 ,       18.0 ,1733409584.108534
1733409584.1254497 , 0.015887022018432617 ,       19.0 ,1733409584.177968
1733409584.1576698 , 0.014189720153808594 ,       20.0 ,1733409584.177968
1733409584.1928382 , 0.017515897750854492 ,       21.0 ,1733409584.2433121
1733409584.2297595 , 0.017188549041748047 ,       22.0 ,1733409584.2433121
1733409584.266934  , 0.015111923217773438 ,       23.0 ,1733409584.2996428
1733409584.3022223 , 0.015457391738891602 ,       24.0 ,1733409584.368643
1733409584.3338916 , 0.015325069427490234 ,       25.0 ,1733409584.368643
1733409584.3663442 , 0.015451431274414062 ,       26.0 ,1733409584.368643
1733409584.420887  , 0.015024423599243164 ,       27.0 ,1733409584.43375
1733409584.4597168 , 0.015949487686157227 ,       28.0 ,1733409584.492903
1733409584.5009303 , 0.01677727699279785  ,       29.0 ,1733409584.564398
1733409584.533399  , 0.014291763305664062 ,       30.0 ,1733409584.564398
1733409584.5706077 , 0.01611471176147461  ,       31.0 ,1733409584.628953
1733409584.6024482 , 0.014885902404785156 ,       32.0 ,1733409584.628953
1733409584.6357062 , 0.016588211059570312 ,       33.0 ,1733409584.698412
1733409584.6702898 , 0.01702094078063965  ,       34.0 ,1733409584.698412
1733409584.7014027 , 0.014972686767578125 ,       35.0 ,1733409584.758432
1733409584.7327993 , 0.014645814895629883 ,       36.0 ,1733409584.758432
1733409584.765283  , 0.015564680099487305 ,       37.0 ,1733409584.8198001
1733409584.7958121 , 0.01426839828491211  ,       38.0 ,1733409584.8198001
1733409584.8291008 , 0.01537322998046875  ,       39.0 ,1733409584.890196
1733409584.9223015 , 0.01692032814025879  ,       40.0 ,1733409584.963524
1733409584.9517715 , 0.014214277267456055 ,       41.0 ,1733409584.963524
1733409584.9841902 , 0.015009403228759766 ,       42.0 ,1733409585.0314791
1733409585.0183396 , 0.015218973159790039 ,       43.0 ,1733409585.0314791
1733409585.0494459 , 0.014607429504394531 ,       44.0 ,1733409585.093884
1733409585.08226   , 0.01416015625        ,       45.0 ,1733409585.093884
1733409585.1165824 , 0.016883134841918945 ,       46.0 ,1733409585.159719
1733409585.1482942 , 0.014108896255493164 ,       47.0 ,1733409585.159719
1733409585.1809824 , 0.014532089233398438 ,       48.0 ,1733409585.237447
1733409585.2134159 , 0.015335559844970703 ,       49.0 ,1733409585.237447
1733409585.244196  , 0.014468669891357422 ,       50.0 ,1733409585.298372
1733409585.2769015 , 0.013944625854492188 ,       51.0 ,1733409585.298372
1733409585.3107285 , 0.016134977340698242 ,       52.0 ,1733409585.358725
1733409585.3412936 , 0.015110015869140625 ,       53.0 ,1733409585.358725
1733409585.3735325 , 0.015720844268798828 ,       54.0 ,1733409585.426423
1733409585.6371047 , 0.020748376846313477 ,       55.0 ,1733409585.6948428
1733409585.669898  , 0.017899274826049805 ,       56.0 ,1733409585.760041
1733409585.7001307 , 0.014650821685791016 ,       57.0 ,1733409585.760041
1733409585.7306488 , 0.013549327850341797 ,       58.0 ,1733409585.760041
1733409585.7640572 , 0.015384197235107422 ,       59.0 ,1733409585.839423
1733409585.7948558 , 0.013917684555053711 ,       60.0 ,1733409585.839423
1733409585.8272715 , 0.014731645584106445 ,       61.0 ,1733409585.839423
1733409585.861787  , 0.014501094818115234 ,       62.0 ,1733409585.917349
1733409585.8955753 , 0.014757871627807617 ,       63.0 ,1733409585.917349
1733409585.9267526 , 0.014305830001831055 ,       64.0 ,1733409585.982583
1733409585.9621305 , 0.016246795654296875 ,       65.0 ,1733409585.982583
1733409585.9917219 , 0.014178276062011719 ,       66.0 ,1733409586.048341
1733409586.0232472 , 0.014137029647827148 ,       67.0 ,1733409586.048341
1733409586.0549748 , 0.014217615127563477 ,       68.0 ,1733409586.1086102
1733409586.08666   , 0.014352798461914062 ,       69.0 ,1733409586.1086102
1733409586.1194572 , 0.015515804290771484 ,       70.0 ,1733409586.1686
1733409586.1513126 , 0.01500844955444336  ,       71.0 ,1733409586.1686
1733409586.1838543 , 0.015795469284057617 ,       72.0 ,1733409586.238792
1733409586.2189796 , 0.018044710159301758 ,       73.0 ,1733409586.238792
1733409586.3750083 , 0.018898963928222656 ,       74.0 ,1733409586.494231
1733409586.4089243 , 0.016149520874023438 ,       75.0 ,1733409586.57332
1733409586.4400039 , 0.015178442001342773 ,       76.0 ,1733409586.57332
