Pruning Amount, Pre Fine Tuning Accuracy, Final Accuracy, Inference Time Pre Pruning, Compute Time, Model Size
0.00,53.20,51.41,0.13,0.53,507.54
1.00,46.60,56.64,0.10,0.45,500.59
2.00,45.80,60.28,0.10,0.51,492.31
3.00,45.80,58.39,0.11,0.50,484.63
4.00,42.20,59.65,0.10,0.49,477.87
5.00,44.00,56.18,0.10,0.44,475.60
6.00,37.40,54.98,0.12,0.61,457.47
7.00,34.40,58.58,0.10,0.46,459.62
8.00,32.80,54.54,0.11,0.51,445.30
9.00,24.00,52.68,0.12,0.47,437.50
10.00,26.80,50.83,0.11,0.44,449.82
11.00,23.60,54.21,0.11,0.48,436.04
12.00,18.40,48.67,0.10,0.53,404.27
13.00,17.60,52.76,0.11,0.50,417.39
14.00,11.20,49.27,0.11,0.42,412.47
15.00,9.80,51.95,0.11,0.41,387.96
16.00,16.00,48.94,0.11,0.33,400.66
17.00,11.80,51.56,0.09,0.50,391.25
18.00,13.00,47.77,0.10,0.44,385.75
19.00,2.60,47.75,0.10,0.44,393.50
20.00,5.20,43.15,0.10,0.51,360.37
21.00,3.60,47.33,0.10,0.44,385.67
22.00,3.60,47.72,0.10,0.36,366.41
23.00,4.20,41.96,0.11,0.40,355.33
24.00,1.20,40.53,0.11,0.50,375.47
25.00,3.20,39.77,0.10,0.45,353.32
26.00,5.00,38.28,0.10,0.32,343.04
27.00,3.00,40.14,0.10,0.41,345.22
28.00,0.80,38.01,0.11,0.43,320.44
29.00,1.40,33.65,0.11,0.48,334.26
30.00,1.00,35.91,0.11,0.50,344.34
31.00,1.40,34.64,0.11,0.45,327.90
32.00,0.60,31.66,0.11,0.47,302.92
33.00,0.40,31.26,0.10,0.48,313.83
34.00,0.20,30.33,0.12,0.47,295.87
35.00,0.40,29.99,0.18,0.62,294.76
36.00,1.20,29.55,0.11,0.49,310.22
37.00,0.40,29.68,0.09,0.45,305.83
38.00,0.00,25.08,0.10,0.45,289.38
39.00,1.20,21.50,0.12,0.43,282.78
40.00,0.00,19.95,0.10,0.54,293.58
41.00,1.00,23.85,0.11,0.32,279.66
42.00,0.20,20.23,0.12,0.42,260.92
43.00,0.40,22.16,0.11,0.54,269.53
44.00,0.00,15.00,0.12,0.44,266.83
45.00,0.20,12.50,0.12,0.47,255.90
46.00,0.20,13.31,0.11,0.51,265.42
47.00,0.00,9.74,0.11,0.60,251.30
48.00,0.00,9.47,0.10,0.47,244.73
49.00,0.20,10.93,0.11,0.60,223.15
50.00,1.00,9.33,0.10,0.43,231.69
51.00,0.40,8.74,0.11,0.45,241.35
52.00,0.20,6.26,0.11,0.46,209.78
53.00,0.00,4.11,0.10,0.35,238.31
54.00,0.40,1.30,0.12,0.51,210.71
55.00,0.00,5.47,0.19,0.41,205.53
56.00,0.60,2.77,0.10,0.45,194.69
57.00,0.00,2.86,0.10,0.37,213.47
58.00,0.00,2.03,0.11,0.50,186.46
59.00,0.20,3.15,0.10,0.34,196.87
