Sparsity,Inference Time
0.0,0.8164639472961426
0.05,0.774648904800415
0.1,0.7748842239379883
0.15000000000000002,0.7760319709777832
0.2,0.769841194152832
0.25,0.7715799808502197
0.30000000000000004,0.7792749404907227
0.35000000000000003,0.7843067646026611
0.4,0.7778942584991455
0.45,0.7865581512451172
0.5,0.767568826675415
0.55,0.7855961322784424
0.6000000000000001,0.7657451629638672
0.65,0.7642109394073486
0.7000000000000001,0.7955131530761719
0.75,0.7776358127593994
0.8,0.7799286842346191
0.8500000000000001,0.7885880470275879
0.9,0.7876238822937012
0.9500000000000001,0.7632462978363037
1.0,0.7722487449645996
