Sparsity,Inference Time
0.0,7.028869867324829
0.05,6.874222755432129
0.1,7.072185039520264
0.15000000000000002,7.2090630531311035
0.2,7.01607608795166
0.25,6.77916407585144
0.30000000000000004,7.476117134094238
0.35000000000000003,7.616590976715088
0.4,8.338353872299194
0.45,9.122819185256958
0.5,10.129924058914185
0.55,8.778304100036621
0.6000000000000001,8.688732862472534
0.65,7.3773839473724365
0.7000000000000001,7.703804969787598
0.75,8.323421955108643
0.8,7.845816135406494
0.8500000000000001,7.892589092254639
0.9,10.96607518196106
0.9500000000000001,10.493676900863647
1.0,9.86086916923523
