Sparsity,Inference Time
0.0,1.1818289756774902
0.05,0.7792460918426514
0.1,1.541776180267334
0.15000000000000002,0.7744951248168945
0.2,0.8757321834564209
0.25,0.757429838180542
0.30000000000000004,0.9008829593658447
0.35000000000000003,0.7400181293487549
0.4,1.1250827312469482
0.45,1.0558829307556152
0.5,1.0686709880828857
0.55,1.3332369327545166
0.6000000000000001,1.2571868896484375
0.65,1.0775461196899414
0.7000000000000001,1.0616209506988525
0.75,0.9432830810546875
0.8,1.2482409477233887
0.8500000000000001,1.1415319442749023
0.9,1.088017225265503
0.9500000000000001,1.1826677322387695
1.0,1.1100926399230957
