Sparsity,Inference Time
0.0,4.237656116485596
0.05,4.370621204376221
0.1,4.315033197402954
0.15000000000000002,4.202489852905273
0.2,4.2141032218933105
0.25,4.2348480224609375
0.30000000000000004,4.333652019500732
0.35000000000000003,4.36887001991272
0.4,4.23992395401001
0.45,4.169204950332642
0.5,4.214336156845093
0.55,4.26645302772522
0.6000000000000001,4.276329040527344
0.65,4.14872670173645
0.7000000000000001,4.2005839347839355
0.75,4.207647800445557
0.8,4.42630410194397
0.8500000000000001,4.175467014312744
0.9,4.169499158859253
0.9500000000000001,4.2683258056640625
1.0,4.20976185798645
