View,"Pruning Amount","Model Size","Device Memory Size","Inference Time","Violated Model Size","Device Performance",Importance
0,0.677,136.46,253.93,62.8334,,0.28,0.067
1,0.985,80.37,279.01,21.5962,,0.73,0.094
2,0.480,205.72,285.67,111.9089,,0.04,0.074
3,0.988,80.09,111.87,17.0279,,0.89,0.080
4,0.989,79.96,279.54,38.4776,,0.11,0.075
5,0.988,80.07,154.85,39.7360,,0.07,0.092
6,0.988,80.06,355.08,18.4725,,0.83,0.098
7,0.597,161.01,388.48,86.4097,,0.07,0.097
8,0.658,141.80,404.61,76.7851,,0.07,0.082
9,0.989,79.98,125.29,39.8790,,0.06,0.086
10,0.599,160.40,381.24,68.2765,,0.37,0.077
11,0.680,135.71,398.47,59.3441,,0.34,0.078
