View,"Pruning Amount","Model Size","Device Memory Size","Inference Time","Violated Model Size","Device Performance",Importance
0,0.989,79.98,405.45,40.8697,,0.02,0.067
1,0.985,80.35,343.18,41.0752,,0.03,0.094
2,0.460,214.38,242.60,93.6090,,0.33,0.074
3,0.989,79.99,119.30,19.1842,,0.81,0.080
4,0.990,79.91,273.91,27.8690,,0.49,0.075
5,0.595,161.93,436.34,78.6164,,0.21,0.092
6,0.988,80.09,103.83,36.6345,,0.18,0.098
7,0.447,220.05,246.48,85.2977,,0.46,0.097
8,0.578,167.64,396.21,89.1300,,0.08,0.082
9,0.669,138.65,356.40,41.3451,,0.71,0.086
10,0.987,80.14,111.13,17.7322,,0.86,0.077
11,0.479,206.12,297.22,78.6010,,0.48,0.078
