"  View  ","Pruning Amount","Model Size","Device Memory Size","Inference Time","Violated Model Size","Device Performance",Importance
0,0.988,80.06,512,39.3170,,0.08,0.072
1,0.988,80.13,128,39.8771,,0.06,0.105
2,0.970,81.74,128,41.2684,,0.06,0.079
3,0.989,80.02,128,39.7840,,0.06,0.077
4,0.680,135.70,512,72.8731,,0.08,0.078
5,0.975,81.32,128,40.9163,,0.06,0.086
6,0.986,80.24,128,39.9809,,0.06,0.091
7,0.990,79.94,256,37.9666,,0.13,0.087
8,0.577,168.16,256,86.7041,,0.13,0.086
9,0.979,80.87,256,38.7518,,0.13,0.076
10,0.980,80.79,128,40.4581,,0.06,0.083
11,0.440,223.35,512,117.7089,,0.08,0.079
