Rank,View,Importance Score
1,0,0.10093649476766586
2,1,0.09548138827085495
3,3,0.09051056206226349
4,4,0.08890634775161743
5,8,0.08806728571653366
6,5,0.08770082145929337
7,7,0.08502345532178879
8,6,0.08418023586273193
9,9,0.07910235971212387
10,2,0.07375162094831467
11,10,0.06809817254543304
12,11,0.05824122205376625
