Sparsity,Accuracy,Comp Time,GFLOPs
0.0,62.7,0.0741269588470459,15.483821032
0.1,51.4,0.06851863861083984,12.645633232
0.2,12.0,0.07401061058044434,8.177218176
0.30000000000000004,0.4,0.06856322288513184,4.089309288
0.4,0.1,0.06697678565979004,1.52463596
0.5,0.0,0.06556057929992676,0.412472768
0.6000000000000001,0.1,0.06635761260986328,0.093179752
0.7000000000000001,0.3,0.06691694259643555,0.033578896
0.8,0.0,0.05922389030456543,0.027422928
0.9,0.2,0.03587794303894043,0.027422928
1.0,0.0,0.03470778465270996,0.027422928
